ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at,checked_at,check_result,check_reliability
2001:de4::101,twnic-public-dns.twnic.tw.,131621,Taiwan Network Information Center,TW,,101,,TRUE,1,2021-10-03T11:02:31Z,2021-10-03T10:48:42Z,,,
2a00:5a60::1:ff,,199274,"Serveroid, LLC",RU,,,,TRUE,1,2021-10-03T11:02:41Z,2021-10-03T10:49:08Z,,,
2a00:5a60::ad2:ff,,199274,"Serveroid, LLC",RU,,,,TRUE,1,2021-11-09T22:22:57Z,2021-10-03T10:49:08Z,,,
2a11::,public-dns-b.dns.sb.,6233,XTOM,NL,,,,TRUE,1,2021-10-05T05:16:04Z,2021-10-03T10:53:19Z,,,
2a11:b244::244,cdns.spectraip.net.,0,,,,,,FALSE,0.99,2021-11-09T15:08:01Z,2021-10-24T21:04:27Z,,,
2a0e:2000::2000,cdns01-nl.spectraip.net.,0,,NL,,,,FALSE,1,2021-10-24T21:16:30Z,2021-10-24T21:16:30Z,,,
2a0d:8480::fd4,russia.netvpn.net.,48282,Hosting technology LTD,RU,,,,TRUE,1,2021-10-25T00:56:50Z,2021-10-25T00:56:50Z,,,
2a02:7b40:6deb:4526::3,mail-lietuva.acvan.net.,62282,UAB Rakrejus,LT,,,,TRUE,1,2021-10-25T00:59:33Z,2021-10-25T00:59:33Z,,,
2001:470:71:1c::d,,6939,HURRICANE,US,,,,TRUE,1,2021-10-25T00:59:36Z,2021-10-25T00:59:36Z,,,
2606:1a40:1::,s0.freedns.controld.com.,398962,CONTROLD,CA,,9.11.3-1ubuntu1.15-Ubuntu,,TRUE,1,2021-11-01T12:04:35Z,2021-11-01T12:04:35Z,,,
2606:1a40:1::1,s1.freedns.controld.com.,398962,CONTROLD,CA,,9.11.3-1ubuntu1.15-Ubuntu,,TRUE,1,2021-11-01T12:06:19Z,2021-11-01T12:06:19Z,,,
2402:2c00:1688:162:1643:4989:f51c:7392,,17645,NTT SINGAPORE PTE LTD,SG,,none,,FALSE,0.99,2021-11-29T05:28:28Z,2021-11-05T10:55:04Z,,,
2606:1a40::4,p4.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2021-11-09T02:52:13Z,2021-11-09T02:52:13Z,,,
2606:1a40:1::4,s4.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2021-11-09T02:52:13Z,2021-11-09T02:52:13Z,,,
2606:1a40::5,p5.freedns.controld.com.,398962,CONTROLD,CA,,9.11.3-1ubuntu1.15-Ubuntu,,TRUE,1,2021-11-09T02:52:32Z,2021-11-09T02:52:32Z,,,
2606:1a40:1::5,s5.freedns.controld.com.,398962,CONTROLD,CA,,9.11.3-1ubuntu1.15-Ubuntu,,TRUE,1,2021-11-09T02:52:37Z,2021-11-09T02:52:37Z,,,
2606:1a40::1,p1.freedns.controld.com.,398962,CONTROLD,CA,,9.11.3-1ubuntu1.15-Ubuntu,,TRUE,1,2021-11-09T02:53:06Z,2021-11-09T02:53:06Z,,,
2a02:bf8:aaaa::10,,1239,SPRINTLINK,GB,,,,TRUE,1,2021-11-09T15:04:30Z,2021-11-09T08:24:09Z,,,
2a02:bf8:aaaa::11,,1239,SPRINTLINK,GB,,,,TRUE,1,2021-11-29T07:32:23Z,2021-11-09T08:24:19Z,,,
2a07:a8c1::,dns2.nextdns.io.,34939,"nextdns, Inc.",US,,,,TRUE,1,2023-02-14T05:27:29Z,2021-11-16T09:44:40Z,,,
2001:910:800::40,ns1.fdn.org.,20766,Association Gitoyen,FR,,,,TRUE,1,2023-02-14T05:41:41Z,2021-12-12T22:10:27Z,,,
2001:67c:21ec::53,dnscache.e-utp.net.,56662,e-utp.net Marcin Gondek,PL,Warsaw,e-utp.net DNS cache PL-2,,TRUE,1,2022-02-09T07:09:09Z,2022-02-01T22:17:42Z,,,
2001:470:1f15:b80::53,opennic.i2pd.xyz.,6939,HURRICANE,US,,,,TRUE,1,2022-04-26T07:03:38Z,2022-03-10T15:40:03Z,,,
2001:780:250::beaf,dns.lars-lehmann.net.,12337,noris network AG,DE,,Served by PowerDNS - https://www.powerdns.com/,,TRUE,0.99,2022-04-11T08:04:21Z,2022-03-24T09:52:38Z,,,
2a0c:2500:572:1354::cafe,dns.lars-lehmann.net.,48314,IP-Projects GmbH & Co. KG,DE,,Served by PowerDNS - https://www.powerdns.com/,,TRUE,0.86,2022-04-17T08:01:12Z,2022-03-24T09:52:38Z,,,
2a0a:51c0::7fe,dns.lars-lehmann.net.,48314,IP-Projects GmbH & Co. KG,DE,,Served by PowerDNS - https://www.powerdns.com/,,TRUE,0.8,2022-04-17T08:01:38Z,2022-03-24T09:52:38Z,,,
2a00:5a60::ad1:ff,,199274,"Serveroid, LLC",RU,,,,TRUE,1,2022-04-19T07:02:48Z,2022-03-30T15:34:27Z,,,
2606:4700:4700::1113,,13335,CLOUDFLARENET,US,,,,TRUE,1,2023-01-02T10:07:11Z,2022-04-13T04:04:32Z,,,
2a03:4000:17:9ca:8860:f2ff:feb0:cbfe,dns2.rbn.gr.,197540,netcup GmbH,DE,,rbn.gr/dns-server,,TRUE,1,2022-08-07T01:25:33Z,2022-07-30T12:09:20Z,,,
2407:9440:1:5::3,,141626,PT Sandya Sistem Indonesia,ID,,,,FALSE,1,2023-02-26T08:55:12Z,2022-08-09T15:41:42Z,,,
2001:4b8:3:201::902,auth1.wayport.net.,14654,WAYPORT,US,,None of your business,,FALSE,0.98,2022-08-16T07:25:33Z,2022-08-11T19:58:21Z,,,
2a03:90c0:999d::1,,199524,G-Core Labs S.A.,RU,,PowerDNS Recursor 4.5.6 (built Oct  8 2021 13:31:44 by root@1a0057b4ce3e),,TRUE,1,2022-09-09T18:43:57Z,2022-09-09T18:03:08Z,,,
2a03:90c0:9992::1,,199524,G-Core Labs S.A.,RU,,PowerDNS Recursor 4.5.6 (built Oct  8 2021 13:31:44 by root@1a0057b4ce3e),,TRUE,1,2022-09-09T18:44:00Z,2022-09-09T18:03:08Z,,,
2a00:6800:3:4bd::1,,42730,EVANZO e-commerce GmbH,DE,,9.18.6-1+ubuntu22.04.1+isc+1-Ubuntu,,TRUE,1,2022-09-15T11:40:08Z,2022-09-13T17:25:21Z,,,
